CBSA_TITLE,REGION,POP,ped_rate,homicide_rate,built_pre40,built_80s,econ_connectedness,pov,hhi,entropy
"Little Rock-North Little Rock-Conway, AR",South,753605,3.95433,12.2611,0.0370291,0.138619,0.746864,0.142073,0.4860013585343186,0.6058481722596013
"Los Angeles-Long Beach-Anaheim, CA",West,13012469,2.76504,5.83594,0.115235,0.126091,0.764368,0.126031,0.3161885480433378,0.8160298769254686
"Louisville/Jefferson County, KY-IN",South,1361847,2.73158,11.3963,0.116221,0.0926137,0.803776,0.12232,0.5712781592481889,0.5426019901336283
"Madison, WI",Midwest,683967,0.877236,1.78371,0.131121,0.103942,1.05843,0.0998269,0.6555283719240961,0.4755619666112795
"McAllen-Edinburg-Mission, TX",South,880921,1.83898,3.905,0.0108084,0.157546,0.52191,0.272,0.859048006312886,0.2029624357683105
"Memphis, TN-MS-AR",South,1341606,5.16626,25.5511,0.0489454,0.13279,0.583152,0.163127,0.4042398418242652,0.6622899935090282
"Miami-Fort Lauderdale-West Palm Beach, FL",South,6138876,3.43385,7.51929,0.019908,0.189947,0.661377,0.131109,0.3338775579438874,0.7682045492789112
"Milwaukee-Waukesha, WI",Midwest,1566361,1.4173,12.628,0.207286,0.0759015,0.857432,0.124579,0.4643122396060987,0.664648050657785
"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest,3693351,0.877252,3.38446,0.136455,0.137946,1.02896,0.0816441,0.5551911181943971,0.5879968615999
"Modesto, CA",West,552250,3.94749,3.76641,0.059607,0.172286,0.74587,0.131,0.3909385549352552,0.6939148546532892
"Nashville-Davidson--Murfreesboro--Franklin, TN",South,2043713,2.57375,6.10653,0.0432979,0.130224,0.812477,0.104113,0.5268328336230608,0.5970243716581518
"New Orleans-Metairie, LA",South,988763,3.51955,25.5511,0.152475,0.131298,0.724051,0.18298,0.3771331339959919,0.722102765528648
"New York-Newark-Jersey City, NY-NJ",Northeast,19756722,1.51037,3.47224,0.27289,0.0784772,0.839364,0.124259,0.2960853446874948,0.8517555451383002
"North Port-Bradenton-Sarasota, FL",South,865031,3.44496,3.53745,0.0143877,0.178815,0.747414,0.0925805,0.5975308360486102,0.5145231900713302
"Ogden, UT",West,645510,0.960481,0.379752,0.0579569,0.118307,1.06769,0.0653471,0.6586499577318607,0.4290130517720877
"Oklahoma City, OK",South,1445122,2.53266,6.10329,0.0558849,0.138495,0.782552,0.138815,0.4315190140990707,0.7106809764273841
"Omaha, NE-IA",Midwest,972840,0.925126,3.5566,0.156351,0.0963785,0.884551,0.0947463,0.5717177585598414,0.5572359640855655
"Orlando-Kissimmee-Sanford, FL",South,2721022,3.32228,5.9904,0.0146143,0.185287,0.761522,0.117492,0.3231254458824653,0.7993489739271136
"Oxnard-Thousand Oaks-Ventura, CA",West,838259,1.40768,3.07781,0.036735,0.17931,0.78141,0.09,0.3862635848263396,0.6908865694141936
"Palm Bay-Melbourne-Titusville, FL",South,620533,3.80318,6.57499,0.00761731,0.241224,0.78834,0.099,0.5431848180487374,0.5853597131673715
"Pensacola-Ferry Pass-Brent, FL",South,516994,3.9072,7.54361,0.0261382,0.164609,0.74588,0.122143,0.5124122420719937,0.6124758494057194
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Northeast,6241882,2.17563,10.7211,0.215019,0.0987644,0.896237,0.11711,0.4137048020209112,0.7210817841879348
"Phoenix-Mesa-Chandler, AZ",West,4941206,3.31903,7.25329,0.00906524,0.161791,0.746765,0.112636,0.3926724793668162,0.7123495590598131
"Pittsburgh, PA",Northeast,2443921,0.932927,4.65645,0.258325,0.0766127,0.886753,0.108791,0.7119740541489858,0.3981144114072234
"Portland-Vancouver-Hillsboro, OR-WA",West,2510529,2.03941,4.05492,0.113211,0.109276,0.944643,0.0955777,0.525015800193826,0.6078576349570456
"Port St. Lucie, FL",South,506701,2.09196,4.69705,0.0107745,0.251557,0.709395,0.115367,0.4327963613737934,0.6748850574428757
"Providence-Warwick, RI-MA",Northeast,1673807,1.03955,2.28222,0.30839,0.115571,0.864862,0.111457,0.5545498440238974,0.5695791790620756
"Provo-Orem-Lehi, UT",West,695895,0.877236,0.603539,0.038846,0.0849141,1.21768,0.0870529,0.6711620572287911,0.4134450188403496
"Raleigh-Cary, NC",South,1449594,1.8212,3.83556,0.0250506,0.136529,0.847788,0.0852512,0.4079033604771758,0.7296860964619424
"Reno, NV",West,556539,2.65929,5.42639,0.0227607,0.142394,0.805792,0.107059,0.4394113509785075,0.6649541914616862
"Richmond, VA",South,1327321,2.13965,9.32706,0.0879284,0.1534,0.858034,0.0995564,0.4038769887620535,0.7054635961762281
"Riverside-San Bernardino-Ontario, CA",West,4637725,3.75184,6.25738,0.0283902,0.212566,0.742192,0.122794,0.3758274542698375,0.7434924856895312
"Rochester, NY",Northeast,1058875,1.54881,6.27081,0.26664,0.109379,0.763961,0.124401,0.5793842760362972,0.5481614412186792
"Sacramento-Roseville-Folsom, CA",West,2406563,3.34086,4.39631,0.042429,0.163496,0.875174,0.115801,0.3258686849352054,0.8256028581522176
"St. Louis, MO-IL",Midwest,2809414,2.23534,14.5796,0.160774,0.111224,0.850404,0.103605,0.5508356507991167,0.5561941757915132
"Salt Lake City-Murray, UT",West,1261337,1.63319,3.52007,0.0715716,0.112976,0.968647,0.0817516,0.527377697046775,0.5754618669400745
"San Antonio-New Braunfels, TX",South,2612802,3.05419,7.43263,0.0401384,0.138948,0.74736,0.134437,0.4229395661448873,0.6592352507643818
"San Diego-Chula Vista-Carlsbad, CA",West,3282782,2.77813,3.16804,0.0407027,0.185998,0.90846,0.104,0.3279738029971366,0.7971406918050952
"San Francisco-Oakland-Fremont, CA",West,4653593,1.74919,5.46245,0.195381,0.106245,1.01732,0.0871682,0.2700954197780502,0.8825191295400184
"San Jose-Sunnyvale-Santa Clara, CA",West,1969353,2.11237,2.41704,0.0479748,0.117498,1.14828,0.0693019,0.29735875315194,0.8144144364233912
"Scranton--Wilkes-Barre, PA",Northeast,567887,1.79613,2.57093,0.33048,0.0805925,0.803325,0.146842,0.6540963161131204,0.4498182407622242
"Seattle-Tacoma-Bellevue, WA",West,4021467,1.77547,4.82411,0.096532,0.137482,1.06702,0.0841112,0.4010889213337753,0.7529521991342243
"Spokane-Spokane Valley, WA",West,591793,2.06153,4.02168,0.136763,0.0942118,0.865335,0.122561,0.6932497404342768,0.4173190755440805
"Stockton-Lodi, CA",West,787416,3.17494,9.57562,0.0695958,0.142396,0.72867,0.126,0.2983212335183798,0.8446804891416878
"Syracuse, NY",Northeast,657128,1.3696,4.44358,0.246546,0.111615,0.788188,0.139348,0.6487706198448991,0.4789949682315742
"Tampa-St. Petersburg-Clearwater, FL",South,3240469,3.91919,5.1474,0.025496,0.197727,0.730593,0.122103,0.4214121412102232,0.7003076648497192
"Toledo, OH",Midwest,602977,1.26041,9.41993,0.226833,0.0868927,0.718417,0.158919,0.5713596993602853,0.5448980992427414
"Tucson, AZ",West,1049947,4.45737,7.94326,0.0190059,0.171373,0.71572,0.144,0.4009227653164154,0.6772740347234598
"Tulsa, OK",South,1026209,2.49462,7.2305,0.0670276,0.13854,0.765234,0.13762,0.4391999418888789,0.6961308993687446
"Urban Honolulu, HI",West,1003666,1.65394,2.84955,0.0299332,0.128123,1.12176,0.091,0.2951486741342399,0.8374094022288043
"Virginia Beach-Chesapeake-Norfolk, VA-NC",South,1782590,1.60441,10.1201,0.0557169,0.181003,0.852706,0.110136,0.3850688685472578,0.7295432771156604
"Washington-Arlington-Alexandria, DC-VA-MD-WV",South,6263796,1.7657,6.72116,0.0812811,0.151789,1.04294,0.0787075,0.2891840293395911,0.8648432484567784
"Wichita, KS",Midwest,648935,1.75672,7.15018,0.107401,0.124895,0.825304,0.130536,0.5183418609620678,0.6149584281113202
"Winston-Salem, NC",South,683637,1.72606,6.58244,0.0609368,0.145252,0.629023,0.139381,0.4858733934844844,0.6239100545316828
"Worcester, MA",Northeast,861664,0.998069,1.81045,0.275024,0.118929,0.93479,0.103,0.5681164242831973,0.5597655042187057
