CBSA_TITLE,REGION,POP,ped_rate,homicide_rate,built_pre40,built_80s,econ_connectedness,cohesiveness_clustering,civic_volunteering
"Columbia, SC",South,839868,3.500550086442155,9.906318611972358,0.037308612792826,0.1346712012671152,0.655223016563948,0.09948473965987115,0.0583214059997404
"Columbus, OH",Midwest,2151847,1.6636870558176302,7.900189929860256,0.1212780948739655,0.1149302236666029,0.8343825271800753,0.09457384382152681,0.0854522661140428
"Dallas-Fort Worth-Arlington, TX",South,7807555,2.208117650147838,6.547504308326998,0.0248282306544805,0.1648642557750564,0.7902253500633657,0.08400662043534467,0.052921559235294145
"Dayton-Kettering-Beavercreek, OH",Midwest,813608,1.352002438520762,7.227067580456435,0.1528506197701842,0.0885905209084936,0.7481200585228837,0.09577692154267703,0.08865879222865151
"Deltona-Daytona Beach-Ormond Beach, FL",South,689939,3.7104729548554296,4.725055403448711,0.0180782528814909,0.2286017522319106,0.7415385630094853,0.08740926679667377,0.0525638219294677
"Denver-Aurora-Centennial, CO",West,2977085,2.0153942531032873,6.0529007401535395,0.0627561885374181,0.1350239247275797,0.9762606768789089,0.08041670998169073,0.06412184994286638
"Des Moines-West Des Moines, IA",Midwest,720331,0.9162454482730856,2.2212010867226315,0.1525015791775318,0.0782494614599698,0.9234099492062786,0.10155878204058164,0.08914601981560948
"Detroit-Warren-Dearborn, MI",Midwest,4367620,1.9507191559705284,10.156561239301954,0.1281296561967466,0.0904434801364328,0.7753848104171358,0.09124787351976649,0.07104341873794671
"Durham-Chapel Hill, NC",South,594291,1.850945075728894,7.403780302915576,0.0468818455123652,0.1449095825842611,0.7845226073365552,0.09453109742248489,0.072186402224308
"El Paso, TX",South,869606,2.483883505863575,4.599784270117731,0.0406967714681526,0.1468401140578115,0.6465899899999998,0.076970004,0.030540001
"Fayetteville-Springdale-Rogers, AR",South,563436,1.9168104274487252,0.7809227667383696,0.0292323722909372,0.1283303323465681,0.8285254444605776,0.09350892204980492,0.08102873100255567
"Fresno, CA",West,1170942,3.945541282147194,8.813416889991135,0.0497004110905239,0.1329761883523501,0.5760635798623562,0.0854964283711235,0.033627073980289336
"Grand Rapids-Wyoming-Kentwood, MI",Midwest,1154320,1.282140134451452,3.153371682029247,0.1524480592166986,0.1103627065930771,0.8936789700093126,0.10002718752345921,0.11122137295474854
"Greensboro-High Point, NC",South,779894,2.667029109084055,9.46282443511554,0.0603048570142254,0.1437341768451333,0.6349626120575607,0.09832699653419985,0.04242719708950264
"Greenville-Anderson-Greer, SC",South,945301,2.8350758118313637,6.791487579088565,0.036617736648197,0.132783112374653,0.6856693968620575,0.09493375809150391,0.048259616355330576
"Harrisburg-Carlisle, PA",Northeast,597894,1.1707760907451823,3.445426781335822,0.1794947463247571,0.1143072371026737,0.8737322781902964,0.10014503407910058,0.06629738983028043
"Houston-Pasadena-The Woodlands, TX",South,7274714,2.614535774189886,9.380437498986216,0.0234126056173348,0.1467721736533525,0.7285211197215732,0.08283427997597462,0.050281832097410245
"Huntsville, AL",South,504712,2.179460761780976,6.696888522563363,0.0228693468257895,0.1485545106234761,0.7385871066204185,0.09940095790267459,0.06407526995399146
"Indianapolis-Carmel-Greenwood, IN",Midwest,2106327,2.01298278947191,10.425731617170552,0.12191369184368,0.098973242446729,0.8027936473047961,0.09317705895882893,0.08401419485374147
"Jackson, MS",South,615908,3.3771277528462043,23.70483903440124,0.030607419667068,0.1424750448859563,0.6736357258851253,0.11195987408012828,0.04126445461305742
"Jacksonville, FL",South,1645707,3.4757098317015123,9.965321895088252,0.0380341060163931,0.1614495267100287,0.7473092054203577,0.08201478524364945,0.062140480772215546
"Kansas City, MO-KS",Midwest,2202006,1.6167076747293148,11.16254905754117,0.113505414539501,0.1196722656891174,0.9111244929144768,0.09247609975822782,0.08484613192226216
"Kiryas Joel-Poughkeepsie-Newburgh, NY",Northeast,700984,1.084190224027938,0.5706264336989146,0.1919873402779826,0.1286223330480714,0.8961691469609637,0.10141312098565586,0.07607913469332604
"Knoxville, TN",South,919553,1.7617255340366458,3.958445027094686,0.0639644270308014,0.1316675071766622,0.7477608230088463,0.09708755755415838,0.07193475040742361
"Lakeland-Winter Haven, FL",South,760961,3.311602040051987,5.440489065799693,0.029461713419257,0.169598180439727,0.61522001,0.07914,0.049970001
"Lancaster, PA",Northeast,555151,1.008734560506961,2.3777314640521228,0.1948288603388367,0.141873562743559,0.88984001,0.096259996,0.057349999
"Las Vegas-Henderson-North Las Vegas, NV",West,2293764,2.7204193631079745,7.986872232714438,0.0041230394461301,0.1369161075259626,0.73276001,0.07626,0.046700001
"Lexington-Fayette, KY",South,517378,2.2420744600659477,6.223689449493406,0.0749590620292132,0.1314949455252068,0.8592694855846058,0.09874102615055269,0.06772796163120923
"Little Rock-North Little Rock-Conway, AR",South,753605,3.9543262053728414,12.261065146860757,0.0370291045651918,0.1386192935101513,0.7468641647164064,0.09477641925918107,0.06790004101466435
"Los Angeles-Long Beach-Anaheim, CA",West,13012469,2.7650402087413233,5.8359408963817705,0.1152349462694094,0.1260912992747383,0.7643682934216001,0.08291236736146128,0.046867512863993044
"Louisville/Jefferson County, KY-IN",South,1361847,2.731584385030036,11.396287541845744,0.1162209092247366,0.0926137200058883,0.8037759769334405,0.09293320961177713,0.08479451490730391
"Madison, WI",Midwest,683967,0.8772359778615072,1.7837117872645905,0.1311214998625018,0.1039421537067891,1.0584294319447658,0.10233843340136818,0.08635758372769324
"McAllen-Edinburg-Mission, TX",South,880921,1.8389844265263284,3.905003967438624,0.0108083779821492,0.1575455120080219,0.52191001,0.080689996,0.020640001
"Memphis, TN-MS-AR",South,1341606,5.166262369863215,25.55105592576467,0.0489453965170332,0.1327898425032956,0.5831517459001211,0.09261147261661111,0.05223298212815539
"Miami-Fort Lauderdale-West Palm Beach, FL",South,6138876,3.4338533633844373,7.519291805209944,0.019908000196815,0.1899472542975371,0.661376932265646,0.08019994499656297,0.03706767007810763
"Milwaukee-Waukesha, WI",Midwest,1566361,1.4172978004431929,12.627995717462325,0.2072856555479839,0.0759014701273458,0.8574324303097137,0.08727801851477085,0.09127337359428633
