COG ID,Length (Mi),Functional Class,Route,Location,Speed,Lanes,Average Weekday Traffic 2018,Average Weekday Traffic 2019,Average Weekday Traffic 2020,Average Annual Daily Traffic 2018,Average Annual Daily Traffic 2019,Average Annual Daily Traffic 2020,AWDT21,AWDT22,ADT21,ADT22,VMT,VHT,VHD
23324,0.74699998,Urban Interstate,BIG I INTCH.,I-25 SBD - I-40 EBD,45,2,18304,18608,47199,18410,18716,44972,54043,53881,51493,51339,0,0,0
23346,0.26199999,Urban Interstate Frontage,I-40 SOUTH FRONTAGE,EAST OF PANAMERICAN EAST - WEST OF UNIVERSITY BLVD.,40,2,6116,6101,4603,5576,5540,4116,5453,5524,4876,4940,1294,33,6
23570,0.28600001,Urban Interstate,BIG I INTCH.,I-40 EBD - I-25 NBD/SBD,45,2,46895,47673,28259,45589,46346,26926,32357,32260,30830,30738,0,0,0
23096,0.43799999,Urban Interstate,I-40 EBD,5TH/6TH ON RAMP - I-25 ON RAMPS,65,5,87759,89216,52760,84445,85847,50271,60410,60229,57560,57387,25136,403,44
22768,0.244,Urban Interstate Off-Ramp,4TH ST. INTCH., I-40 EBD OFF RAMP,35,1,5316,9867,6700,4847,8959,5991,8324,8450,7589,7704,1880,54,10
22656,0.176,Urban Interstate Frontage,I-40 NORTH FRONTAGE, EAST OF I-40 ON RAMP - WEST OF 6TH ST.,40,3,8442,8497,5952,7697,7715,5322,7648,7985,6839,7140,1257,32,6
23308,0.73900002,Urban Interstate,I-40 EBD,I-25 ON RAMPS - I-25 NBD ON RAMP,65,3,40864,41542,37516,38856,39501,35746,42956,37300,40929,40806,30156,470,39
23979,0.052,Urban Major Collector,MOUNTAIN ROAD,EAST OF PAN AMERICAN WEST - WEST OF PAN AMERICAN EAST,25,4,3472,3363,2284,3166,3054,2042,2838,2881,2537,2575,134,6,1
23977,0.48500001,Urban Major Collector,MOUNTAIN ROAD,EAST OF BROADWAY - WAST OF PAN AMERICAN WEST,30,4,6048,5858,3978,5514,5319,3557,4942,4838,4419,4386,2127,87,26
24176,0.113,Urban Principal Arterial,LOMAS,EAST OF PAN AMERICAN WEST - WEST OF PAN AMERICAN EAST,35,6,28378,27487,18664,26765,25588,17239,23833,24194,22135,22386,2530,84,18
24761,0.119,Urban Interstate Frontage,PAN AM. EAST,NORTH OF LOMAS - SOUTH OF MOUNTAIN RD.,35,3,9676,9652,7282,8822,8764,6511,8626,8739,7713,7814,930,36,12
24766,0.16500001,Urban Interstate Frontage,PAN AM. EAST,NE OF I-40 SOUTH FRONTAGE RD. - SOUTH OF I-40 NORTH FRONTAGE,40,3,8354,8333,6287,7617,7566,5622,7447,7544,6660,6747,1113,38,12
22064,0.245,Urban Interstate Frontage,PAN AM. EAST,NORTH OF COMANCHE INTCH.OFF RAMP - SOUTH OF COMANCHE,45,3,12376,12345,9313,11284,11209,8327,25567,25901,23309,23481,5753,172,57
20852,0.52600002,Urban Major Collector,SAN FRANCISCO, EAST OF VENTURA - WEST OF HOLBROOK,30,2,5113,4727,3154,4662,4292,2820,3317,3470,3024,3146,1655,64,15
20308,0.53399998,Urban Interstate,I-25 NBD,TRAMWAY OFF RAMP - TRAMWAY ON RAMP,65,2,33862,34424,30017,32593,33134,28601,34369,34266,32748,32650,17435,252,-3
